Category,Variable,Metric Name,Value,Slide,Description
General,{{CUSTOMER}},Customer Name,,"1, 14",Customer organization or tenant name
General,{{TAM_NAME}},Technical Account Manager,,1,Assigned Wiz TAM / Architect
General,{{DATE}},Assessment Date,,"1, 14",Date of Health Assessment (YYYY-MM-DD)
Cloud Architecture,{{C_AWS}},AWS Accounts Count,,3,Total connected AWS accounts
Cloud Architecture,{{C_AZ}},Azure Subscriptions Count,,3,Total connected Azure subscriptions
Cloud Architecture,{{C_GCP}},GCP Projects Count,,3,Total connected GCP projects
Cloud Architecture,{{C_OTH}},Other Cloud Accounts Count,,3,"OCI, Alibaba, etc."
Cloud Architecture,{{C_OTH_NAMES}},Other Cloud Provider Names,,3,Names of other cloud providers
Cloud Architecture,{{CON_TOT}},Total Connected Connectors,,3,Total connectors across all types
AI Footprint,{{AI_AGENTS_COUNT}},AI Agents Discovered,,3,Active AI Agent entities
AI Footprint,{{AI_MODELS_COUNT}},AI Models Discovered,,3,Active AI Model entities
AI Footprint,{{AI_GUARDRAILS_COUNT}},AI Guardrails Discovered,,3,Active AI Guardrail entities
AI Footprint,{{AI_MCP_SERVERS_COUNT}},MCP Servers Discovered,,3,Model Context Protocol servers
AI Footprint,{{AI_PIPELINES_COUNT}},AI Pipelines Discovered,,3,Active AI Pipelines
AI Footprint,{{AI_DATASETS_COUNT}},AI Datasets Discovered,,3,AI Datastores / Training sets
AI Footprint,{{AI_TECHNOLOGIES_COUNT}},AI Technologies Count,,3,"AI libraries & frameworks (PyTorch, TensorFlow, etc.)"
AI Footprint,{{AI_CA_COUNT}},AI Coding Agents (IDEs),,3,Developer IDEs with AI assistants
AI Footprint,{{AI_CODE_REPOS_COUNT}},AI Code Repositories,,3,VCS repositories using AI technologies
AI Footprint,{{AI_WORKLOADS_COUNT}},AI Running Workloads,,3,Workloads executing AI models or pipelines
Workload Inventory,{{CW_TOT}},Total Cloud Workloads,,4,Total active compute workloads
Workload Inventory,{{CW_VM}},Virtual Machines Count,,4,Total VMs in inventory
Workload Inventory,{{CW_SLS}},Serverless Functions Count,,4,"Lambda, Azure Functions, Cloud Run"
Workload Inventory,{{CW_CR}},Container Registries Count,,4,"ECR, ACR, GCR/Artifact Registry"
Workload Inventory,{{CW_CO}},Container Repositories Count,,4,Total container repositories
Connectors & Agents,{{CON_WOS}},Wiz Sensor Workloads,,4,Workloads with Wiz Runtime Sensor installed
Connectors & Agents,{{CON_K8S}},Kubernetes Connectors Count,,4,Installed K8s connectors
Connectors & Agents,{{CON_CC}},Cloud Connectors Count,,4,Active cloud integration connectors
Connectors & Agents,{{CON_AC}},Admission Controllers Count,,4,K8s admission controllers deployed
Connectors & Agents,{{CON_VCS}},VCS Connectors Count,,4,"GitHub, GitLab, Bitbucket connectors"
Connectors & Agents,{{CON_CICD}},CI/CD Connectors Count,,4,Pipelines & build server integrations
System Health,{{SHI_C}},Open Critical SHIs,,5,Open Critical System Health Issues
System Health,{{SHI_H}},Open High SHIs,,5,Open High System Health Issues
System Health,{{SHI_R_C}},Resolved Critical SHIs (30d),,5,Resolved Critical SHIs in past 30 days
System Health,{{SHI_R_H}},Resolved High SHIs (30d),,5,Resolved High SHIs in past 30 days
System Health Breakdown,{{SHI_O}},SHI - Outposts & Outpost Clusters,,5,Open Crit+High SHIs on Outposts
